customer_id,order_size_variability,total_orders,total_sales,average_order_value,total_profit,average_profit_per_order,purchase_consistency,engagement_score,loyalty_status,shipping_mode_preference,promotion_response,churn_risk,recency,recency_score,frequency_score,monetary_score,rfm_score,segment,product_diversity,category_preference,first_purchase_date,last_purchase_date,customer_tenure,cross_buy_index,region_preference,customer_segment,state_preference,city_preference
AB-10600,300.1676797580931,4,1515.862,378.9655,-274.9604,-68.7401,155 days,0.23529411764705882,Regular,First Class,0.875,Low,50,3,1,2,312,Others,3,Office Supplies,2014-11-18,2017-11-10,1088,7,West,Corporate,Arizona,Tucson
AC-10420,290.3380627062184,3,925.8,308.59999999999997,-62.1342,-20.7114,258 days,0.17647058823529413,New,Standard Class,1.0,High,232,1,1,1,111,At Risk,2,Office Supplies,2014-07-12,2017-05-12,1035,4,Central,Corporate,California,Houston
AC-10450,761.6026778662948,7,5527.846,789.6922857142856,1366.0098,195.14425714285716,143 days,0.4117647058823529,Regular,First Class,0.6666666666666666,Low,11,4,3,4,434,Loyal Customers,2,Office Supplies,2014-10-31,2017-12-19,1145,6,South,Consumer,Florida,New York City
AC-10615,297.67474615548434,5,2537.6859999999997,507.5371999999999,298.8273,59.76546,48 days,0.29411764705882354,Regular,Standard Class,0.3888888888888889,Low,6,4,1,3,413,Loyal Customers,3,Office Supplies,2015-09-15,2017-12-24,831,12,East,Corporate,New York,New York City
AC-10660,79.30650271110603,5,657.316,131.4632,-28.700399999999995,-5.740079999999999,178 days,0.29411764705882354,Regular,First Class,0.8333333333333334,High,282,1,1,1,111,At Risk,3,Office Supplies,2014-10-15,2017-03-23,890,4,Central,Consumer,California,Parma
AD-10180,873.0903060193543,8,6106.88,763.36,1869.9294,233.741175,100 days,0.47058823529411764,Regular,Standard Class,0.25,Low,29,4,3,4,434,Loyal Customers,3,Office Supplies,2014-11-19,2017-12-01,1108,7,East,Home Office,Montana,Great Falls
AF-10870,176.94434896561876,7,2052.908,293.27257142857144,317.9712,45.42445714285714,47 days,0.4117647058823529,Regular,Standard Class,0.5625,Low,41,3,3,2,332,Others,3,Office Supplies,2015-12-06,2017-11-19,714,10,East,Consumer,New Jersey,Passaic
AF-10885,137.03540587103063,4,861.565,215.39125,-163.1175,-40.779375,152 days,0.23529411764705882,Regular,Second Class,0.7142857142857143,High,415,1,1,1,111,At Risk,3,Office Supplies,2014-05-10,2016-11-10,915,7,East,Consumer,Ohio,Louisville
AG-10270,354.3680369356193,5,2582.898,516.5796,732.7399,146.54798,80 days,0.29411764705882354,Regular,Standard Class,0.07142857142857142,High,278,1,1,3,113,Others,3,Office Supplies,2014-05-13,2017-03-27,1049,9,Central,Consumer,Nebraska,Omaha
AG-10300,92.27767130135004,4,367.548,91.887,59.288399999999996,14.822099999999999,306 days,0.23529411764705882,Regular,Standard Class,0.4,Low,118,2,1,1,211,Others,2,Office Supplies,2014-04-26,2017-09-03,1226,5,West,Corporate,California,Los Angeles
AG-10330,66.51761421608565,5,660.972,132.1944,-5.137100000000006,-1.0274200000000013,63 days,0.29411764705882354,Regular,Second Class,0.6666666666666666,Low,8,4,1,1,411,Loyal Customers,3,Office Supplies,2016-08-03,2017-12-22,506,7,Central,Consumer,Texas,Houston
AG-10390,25.31130074231384,5,200.945,40.189,69.2784,13.855680000000001,176 days,0.29411764705882354,Regular,First Class,0.5,Low,114,2,1,1,211,Others,2,Office Supplies,2014-04-19,2017-09-07,1237,5,East,Consumer,Ohio,Cincinnati
AG-10495,147.3510944905463,8,2356.855,294.606875,295.6668,36.95835,50 days,0.47058823529411764,Regular,Standard Class,0.9047619047619048,Low,78,2,3,3,233,Others,3,Office Supplies,2015-01-04,2017-10-13,1013,9,South,Corporate,Florida,Saint Petersburg
AG-10525,211.22574630738345,4,1455.038,363.7595,-152.7613,-38.190325,49 days,0.23529411764705882,Regular,Standard Class,0.5555555555555556,High,845,1,1,2,112,Others,3,Office Supplies,2014-08-09,2015-09-07,394,8,East,Corporate,New York,New York City
AG-10675,605.1739777024465,7,3489.0396000000005,498.43422857142866,-246.42570000000003,-35.20367142857143,62 days,0.4117647058823529,Regular,Second Class,0.7333333333333333,Low,97,2,3,3,233,Others,3,Office Supplies,2015-05-07,2017-09-24,871,10,South,Consumer,Texas,Houston
AG-10765,44.870641305869476,4,170.584,42.646,-8.431000000000001,-2.1077500000000002,280 days,0.23529411764705882,Regular,Standard Class,0.6,Low,77,2,1,1,211,Others,1,Office Supplies,2014-09-17,2017-10-14,1123,1,Central,Home Office,Illinois,Chicago
AG-10900,265.49996692999525,10,4510.797,451.07969999999995,343.6824,34.36824,58 days,0.5882352941176471,Regular,Standard Class,0.6190476190476191,Low,96,2,4,4,244,Potential Loyalists,3,Office Supplies,2014-07-23,2017-09-25,1160,11,West,Consumer,California,Tucson
AH-10030,206.30546271267494,7,1744.7,249.24285714285716,365.2152,52.1736,133 days,0.4117647058823529,Regular,Standard Class,0.45454545454545453,Low,12,4,3,2,432,Loyal Customers,3,Office Supplies,2014-04-22,2017-12-18,1336,10,East,Corporate,California,San Francisco
AH-10075,223.79020708438304,10,3250.337,325.0337,281.189,28.118900000000004,58 days,0.5882352941176471,Regular,First Class,0.5,Low,34,3,4,3,343,Potential Loyalists,3,Office Supplies,2014-11-16,2017-11-26,1106,11,East,Corporate,Rhode Island,Cranston
AH-10120,111.20622814745283,7,1735.5140000000001,247.93057142857145,-2.3145999999999773,-0.3306571428571396,80 days,0.4117647058823529,Regular,First Class,0.75,Low,60,3,3,2,332,Others,3,Office Supplies,2014-07-18,2017-10-31,1201,8,West,Home Office,Oregon,Salem
AH-10195,321.53898009372716,4,1587.452,396.863,-378.5509,-94.637725,139 days,0.23529411764705882,Regular,Second Class,1.0,Low,55,3,1,2,312,Others,2,Office Supplies,2015-03-05,2017-11-05,976,5,East,Corporate,Florida,Tamarac
AH-10210,487.2418018974847,9,4805.344,533.9271111111111,1308.5546,145.39495555555555,93 days,0.5294117647058824,Regular,Standard Class,0.46153846153846156,Low,6,4,4,4,444,Champions,2,Office Supplies,2014-11-29,2017-12-24,1121,7,West,Consumer,California,New York City
AH-10465,465.164680086056,5,2495.3916,499.07831999999996,-196.12009999999998,-39.224019999999996,123 days,0.29411764705882354,Regular,Second Class,0.625,High,230,1,1,3,113,Others,3,Office Supplies,2015-01-03,2017-05-14,862,8,Central,Consumer,Texas,Dallas
AH-10585,159.0423231822272,4,738.504,184.626,83.96300000000001,20.990750000000002,285 days,0.23529411764705882,Regular,Second Class,0.6,Low,21,4,1,1,411,Loyal Customers,3,Furniture,2014-10-26,2017-12-09,1140,5,West,Consumer,Washington,Seattle
AH-10690,622.8903226267362,12,7888.294,657.3578333333334,1298.0166,108.16805,43 days,0.7058823529411765,VIP,Standard Class,0.6521739130434783,High,410,1,4,4,144,Potential Loyalists,3,Office Supplies,2014-04-02,2016-11-15,958,13,South,Corporate,Florida,Plantation
AI-10855,414.36792036639525,10,4375.786,437.5786,867.7271000000001,86.77271,78 days,0.5882352941176471,Regular,Second Class,0.3333333333333333,Low,13,4,4,4,444,Champions,3,Office Supplies,2014-04-28,2017-12-17,1329,10,West,Consumer,California,Los Angeles
AJ-10780,544.9113577785971,7,4867.344,695.3348571428571,150.71300000000005,21.53042857142858,98 days,0.4117647058823529,Regular,Standard Class,0.2,Low,75,3,3,4,334,Big Spenders,3,Office Supplies,2014-01-10,2017-10-16,1375,10,East,Corporate,Maryland,Baltimore
AJ-10795,349.98999555965537,7,4501.391,643.0558571428571,1158.7064,165.52948571428573,58 days,0.4117647058823529,Regular,Standard Class,0.42857142857142855,Low,166,2,3,4,234,Big Spenders,3,Office Supplies,2014-05-14,2017-07-17,1160,13,West,Corporate,California,San Francisco
AJ-10945,216.39175952476154,7,1839.24,262.74857142857144,521.1351999999999,74.4478857142857,145 days,0.4117647058823529,Regular,Standard Class,0.2,Low,85,2,3,2,232,Others,3,Office Supplies,2014-03-03,2017-10-06,1313,7,Central,Consumer,Michigan,Detroit
AJ-10960,186.5151952276275,3,629.2479999999999,209.7493333333333,60.4265,20.142166666666665,282 days,0.17647058823529413,New,Standard Class,0.2,Low,74,3,1,1,311,Others,1,Office Supplies,2014-09-14,2017-10-17,1129,5,East,Consumer,New York,New York City
AM-10360,77.81714194342031,5,814.012,162.80239999999998,194.9878,38.99756,104 days,0.29411764705882354,Regular,Same Day,0.5,Low,28,4,1,1,411,Loyal Customers,3,Office Supplies,2014-10-06,2017-12-02,1153,7,West,Corporate,California,Los Angeles
AM-10705,397.8777042560862,7,4399.8820000000005,628.5545714285715,878.4702,125.49574285714286,55 days,0.4117647058823529,Regular,Standard Class,0.21052631578947367,Low,162,2,3,4,234,Big Spenders,3,Office Supplies,2014-10-31,2017-07-21,994,10,South,Consumer,Rhode Island,Cranston
AO-10810,0.0,1,161.28,161.28,12.096,12.096,,0.058823529411764705,New,First Class,1.0,High,501,1,1,1,111,At Risk,1,Furniture,2016-08-16,2016-08-16,0,1,West,Corporate,California,Los Angeles
AP-10720,119.16781247906562,7,1633.574,233.3677142857143,283.3486,40.47837142857143,79 days,0.4117647058823529,Regular,Standard Class,0.6666666666666666,Low,41,3,3,2,332,Others,3,Office Supplies,2014-03-03,2017-11-19,1357,10,East,Home Office,California,Los Angeles
AP-10915,187.7504876918426,10,3323.556,332.3556,579.3113,57.931129999999996,37 days,0.5882352941176471,Regular,Standard Class,0.3870967741935484,Low,98,2,4,3,243,Potential Loyalists,3,Office Supplies,2014-08-23,2017-09-23,1127,15,West,Consumer,California,Los Angeles
AR-10345,196.695226213551,4,1055.694,263.9235,-221.0544,-55.2636,246 days,0.23529411764705882,Regular,Second Class,0.8,Low,111,2,1,1,211,Others,3,Furniture,2014-12-30,2017-09-10,985,5,East,Corporate,Pennsylvania,Philadelphia
AR-10405,518.9713074494673,5,2236.128,447.22560000000004,-98.7646,-19.75292,176 days,0.29411764705882354,Regular,Standard Class,0.42857142857142855,Low,125,2,1,2,212,Others,3,Furniture,2014-10-03,2017-08-27,1059,5,East,Corporate,California,Los Angeles
AR-10510,31.032983881209823,5,264.86400000000003,52.97280000000001,43.6695,8.7339,220 days,0.29411764705882354,Regular,Standard Class,0.5714285714285714,Low,14,4,1,1,411,Loyal Customers,2,Office Supplies,2014-05-02,2017-12-16,1324,6,East,Consumer,Pennsylvania,Philadelphia
AR-10540,1778.1833236961256,6,6608.448,1101.4080000000001,2884.6208,480.7701333333334,140 days,0.35294117647058826,Regular,Second Class,0.3333333333333333,Low,6,4,2,4,424,Loyal Customers,3,Office Supplies,2014-11-25,2017-12-24,1125,5,Central,Consumer,California,Jackson
AR-10570,10.854089091213503,1,88.15,88.15,32.633,32.633,0 days,0.058823529411764705,New,Standard Class,0.0,High,534,1,1,1,111,At Risk,2,Furniture,2016-07-14,2016-07-14,0,2,South,Consumer,Georgia,Columbus
AR-10825,486.21514018907,8,4523.336,565.417,494.83519999999993,61.85439999999999,101 days,0.47058823529411764,Regular,Second Class,0.38461538461538464,Low,58,3,3,4,334,Big Spenders,3,Furniture,2014-06-30,2017-11-02,1221,8,West,Corporate,New York,New York City
AS-10045,459.4493654453968,7,3050.692,435.81314285714285,-253.57459999999998,-36.22494285714286,129 days,0.4117647058823529,Regular,First Class,0.8,Low,88,2,3,3,233,Others,3,Office Supplies,2014-07-27,2017-10-03,1164,6,South,Corporate,North Carolina,Jacksonville
AS-10090,245.1701527381885,9,3255.31,361.7011111111111,64.53739999999998,7.1708222222222195,48 days,0.5294117647058824,Regular,Standard Class,0.6,Low,28,4,4,3,443,Loyal Customers,3,Office Supplies,2014-09-22,2017-12-02,1167,12,East,Consumer,New York,New York City
AS-10135,19.322736176156145,2,58.82,29.41,21.8496,10.9248,185 days,0.11764705882352941,New,First Class,0.3333333333333333,Low,41,3,1,1,311,Others,2,Office Supplies,2016-11-13,2017-11-19,371,3,East,Home Office,New York,New York City
AS-10225,392.1006082148928,4,2043.9840000000002,510.99600000000004,275.0849,68.771225,105 days,0.23529411764705882,Regular,Second Class,0.4,Low,22,4,1,2,412,Loyal Customers,3,Office Supplies,2015-05-04,2017-12-08,949,8,West,Corporate,Utah,Provo
AS-10240,44.62007567199275,7,584.6080000000001,83.51542857142859,33.715799999999994,4.816542857142856,99 days,0.4117647058823529,Regular,Standard Class,0.7692307692307693,High,192,1,3,1,131,Others,2,Office Supplies,2014-03-15,2017-06-21,1194,7,South,Consumer,Florida,Tampa
AS-10285,922.3684977161474,6,3214.236,535.706,354.62760000000003,59.104600000000005,81 days,0.35294117647058826,Regular,Standard Class,0.625,Low,19,4,2,3,423,Loyal Customers,3,Office Supplies,2016-05-21,2017-12-11,569,6,Central,Corporate,California,Dallas
AS-10630,115.29551391243864,7,833.398,119.05685714285714,136.49190000000002,19.498842857142858,105 days,0.4117647058823529,Regular,Standard Class,0.8333333333333334,Low,92,2,3,1,231,Others,3,Office Supplies,2014-08-01,2017-09-29,1155,9,South,Home Office,Florida,Boynton Beach
AT-10435,293.3006003365451,6,1171.814,195.30233333333334,100.87680000000002,16.812800000000003,138 days,0.35294117647058826,Regular,Second Class,0.4444444444444444,Low,21,4,2,2,422,Loyal Customers,3,Office Supplies,2014-11-24,2017-12-09,1111,7,West,Home Office,California,Los Angeles
AT-10735,639.2038330629753,10,3831.864,383.1864,974.107,97.41069999999999,80 days,0.5882352941176471,Regular,Standard Class,0.4375,Low,13,4,4,4,444,Champions,3,Office Supplies,2014-08-30,2017-12-17,1205,9,East,Consumer,New York,New York City
AW-10840,113.98473184974004,4,649.376,162.344,65.77250000000001,16.443125000000002,138 days,0.23529411764705882,Regular,First Class,0.625,Low,20,4,1,1,411,Loyal Customers,3,Office Supplies,2015-04-13,2017-12-10,972,8,West,Consumer,California,Bakersfield
AW-10930,315.35090766150233,7,2852.968,407.56685714285715,-104.5486,-14.935514285714286,81 days,0.4117647058823529,Regular,Second Class,0.8125,Low,46,3,3,3,333,Others,3,Office Supplies,2014-07-14,2017-11-14,1219,10,Central,Home Office,Texas,Houston
AY-10555,33.17565940464987,4,497.014,124.2535,103.3499,25.837475,150 days,0.23529411764705882,Regular,Standard Class,0.5,Low,14,4,1,1,411,Loyal Customers,3,Furniture,2014-04-06,2017-12-16,1350,6,West,Corporate,California,Los Angeles
AZ-10750,169.31616342851473,6,1622.0179999999998,270.3363333333333,154.9503,25.82505,111 days,0.35294117647058826,Regular,Standard Class,0.6666666666666666,Low,160,2,2,2,222,Others,3,Office Supplies,2014-03-17,2017-07-23,1224,7,West,Consumer,California,San Diego
BB-10990,135.79540465925726,5,744.3399999999999,148.868,11.583900000000007,2.3167800000000014,163 days,0.29411764705882354,Regular,Standard Class,0.625,Low,105,2,1,1,211,Others,2,Office Supplies,2014-07-27,2017-09-16,1147,7,West,Corporate,California,Inglewood
BB-11545,570.8899430883421,9,6765.728,751.7475555555556,1015.0749999999999,112.7861111111111,47 days,0.5294117647058824,Regular,Standard Class,0.5,Low,28,4,4,4,444,Champions,3,Office Supplies,2015-06-05,2017-12-02,911,8,Central,Corporate,Texas,Fort Worth
BC-11125,189.62036181554663,9,2933.676,325.964,251.5974,27.955266666666667,63 days,0.5294117647058824,Regular,Second Class,0.5555555555555556,High,202,1,4,3,143,Potential Loyalists,3,Office Supplies,2014-07-06,2017-06-11,1071,6,West,Home Office,California,Peoria
BD-11320,608.9845538202261,12,5718.521,476.54341666666664,1094.5037,91.20864166666667,50 days,0.7058823529411765,VIP,Standard Class,0.3684210526315789,Low,33,3,4,4,344,Potential Loyalists,3,Office Supplies,2015-05-31,2017-11-27,911,8,West,Consumer,California,Los Angeles
BD-11500,894.0136440216669,6,4411.2429999999995,735.2071666666666,1142.1225,190.35375,154 days,0.35294117647058826,Regular,Standard Class,0.4,Low,35,3,2,4,324,Big Spenders,3,Office Supplies,2014-02-01,2017-11-25,1393,9,Central,Consumer,Illinois,Chicago
BD-11560,63.104982106539474,2,320.54,160.27,116.714,58.357,222 days,0.11764705882352941,New,Standard Class,0.0,High,278,1,1,1,111,At Risk,2,Office Supplies,2015-05-30,2017-03-27,667,2,West,Home Office,California,Fresno
BD-11605,292.0582964673635,7,3288.471,469.78157142857145,634.8463,90.69232857142858,71 days,0.4117647058823529,Regular,Standard Class,0.35,Low,97,2,3,3,233,Others,3,Office Supplies,2014-01-13,2017-09-24,1350,13,South,Consumer,California,San Francisco
BD-11620,128.78142083584882,6,1538.11,256.35166666666663,206.75689999999997,34.45948333333333,172 days,0.35294117647058826,Regular,Same Day,0.75,Low,69,3,2,2,322,Others,3,Office Supplies,2014-06-30,2017-10-22,1210,7,East,Consumer,California,Lawton
BD-11635,82.50372999567959,3,582.646,194.21533333333332,141.53400000000002,47.178000000000004,293 days,0.17647058823529413,New,Second Class,0.6,Low,9,4,1,1,411,Loyal Customers,3,Office Supplies,2014-10-05,2017-12-21,1173,5,East,Consumer,New York,New York City
BD-11725,209.13681269021535,6,1526.5,254.41666666666666,333.9791,55.663183333333336,90 days,0.35294117647058826,Regular,Standard Class,0.1,Low,93,2,2,2,222,Others,2,Furniture,2015-07-03,2017-09-28,818,7,South,Consumer,California,Lafayette
BD-11770,68.95386488595915,6,658.466,109.74433333333333,141.265,23.544166666666666,37 days,0.35294117647058826,Regular,Standard Class,0.6,High,327,1,2,1,121,Others,3,Office Supplies,2016-03-10,2017-02-06,333,7,East,Consumer,Washington,Edmonds
BE-11335,657.2622170400823,5,4204.676,840.9352000000001,1487.7739000000001,297.55478000000005,74 days,0.29411764705882354,Regular,Standard Class,0.1111111111111111,Low,119,2,1,4,214,Big Spenders,3,Office Supplies,2016-01-15,2017-09-02,596,6,Central,Home Office,New York,Jackson
BE-11410,678.0426521634166,5,2261.438,452.2876,755.9150999999999,151.18302,148 days,0.29411764705882354,Regular,First Class,0.8,Low,98,2,1,3,213,Others,2,Office Supplies,2016-02-07,2017-09-23,594,4,Central,Consumer,California,Appleton
BE-11455,222.72090524667288,6,1727.652,287.942,139.20080000000002,23.200133333333337,52 days,0.35294117647058826,Regular,Second Class,0.46153846153846156,High,254,1,2,2,122,Others,3,Office Supplies,2015-08-02,2017-04-20,627,10,East,Home Office,Ohio,Providence
BF-10975,84.01941979822742,7,599.798,85.68542857142857,227.4384,32.4912,97 days,0.4117647058823529,Regular,Standard Class,0.5384615384615384,Low,91,2,3,1,231,Others,2,Office Supplies,2014-07-14,2017-09-30,1174,6,South,Corporate,North Carolina,Charlotte
BF-11005,214.50893271635823,4,1333.88,333.47,-291.38109999999995,-72.84527499999999,128 days,0.23529411764705882,Regular,Standard Class,0.5,Low,39,3,1,2,312,Others,3,Office Supplies,2014-09-25,2017-11-21,1153,6,West,Home Office,California,Pasadena
BF-11020,232.29896833389182,8,2888.506,361.06325,302.02,37.7525,67 days,0.47058823529411764,Regular,Second Class,0.9047619047619048,Low,74,3,3,3,333,Others,3,Office Supplies,2014-02-15,2017-10-17,1340,11,Central,Corporate,Texas,Arlington
BF-11080,39.023919972242666,2,258.28,129.14,106.96629999999999,53.483149999999995,21 days,0.11764705882352941,New,First Class,0.0,Low,25,4,1,1,411,Loyal Customers,1,Office Supplies,2017-09-12,2017-12-05,84,3,East,Consumer,Maryland,Baltimore
BF-11170,346.986792284811,11,5907.972,537.0883636363636,1538.2127,139.83751818181818,51 days,0.6470588235294118,VIP,Standard Class,0.5185185185185185,Low,16,4,4,4,444,Champions,3,Office Supplies,2014-04-13,2017-12-14,1341,13,West,Home Office,California,Los Angeles
BF-11215,217.70089706209953,4,1585.162,396.2905,523.2133,130.803325,154 days,0.23529411764705882,Regular,Second Class,0.25,Low,65,3,1,2,312,Others,3,Office Supplies,2014-11-09,2017-10-26,1082,6,West,Home Office,New Mexico,Albuquerque
BF-11275,163.17926875985196,3,791.9899999999999,263.9966666666666,25.870199999999997,8.623399999999998,440 days,0.17647058823529413,New,Standard Class,0.75,Low,57,3,1,1,311,Others,3,Office Supplies,2014-03-22,2017-11-03,1322,4,South,Corporate,Arizona,Tucson
BG-11035,404.4067761736337,8,2798.948,349.8685,-711.4274,-88.928425,102 days,0.47058823529411764,Regular,Standard Class,0.75,Low,28,4,3,3,433,Loyal Customers,3,Office Supplies,2014-11-05,2017-12-02,1123,9,South,Consumer,Texas,Austin
BG-11695,375.81229611868747,6,1874.172,312.362,107.5715,17.928583333333332,184 days,0.35294117647058826,Regular,Standard Class,0.5,Low,36,3,2,2,322,Others,3,Office Supplies,2014-05-11,2017-11-24,1293,8,East,Corporate,New York,New York City
BG-11740,189.83083726608504,6,1006.356,167.726,119.34790000000001,19.89131666666667,220 days,0.35294117647058826,Regular,Standard Class,0.7142857142857143,Low,57,3,2,1,321,Others,3,Furniture,2014-03-23,2017-11-03,1321,6,West,Consumer,California,Los Angeles
BH-11710,425.6982804476318,8,6255.351,781.918875,802.7898,100.348725,55 days,0.47058823529411764,Regular,Standard Class,0.5416666666666666,Low,23,4,3,4,434,Loyal Customers,3,Office Supplies,2014-06-09,2017-12-07,1277,12,South,Consumer,California,Los Angeles
BK-11260,51.82834072831195,6,659.1379999999999,109.85633333333332,-63.764399999999995,-10.6274,77 days,0.35294117647058826,Regular,Standard Class,0.4375,Low,77,2,2,1,221,Others,3,Office Supplies,2014-08-03,2017-10-14,1168,10,West,Consumer,California,Chicago
BM-11140,2021.9648658150936,4,11789.63,2947.4075,-1659.9580999999998,-414.98952499999996,60 days,0.23529411764705882,Regular,Standard Class,0.5625,High,307,1,1,4,114,Big Spenders,3,Office Supplies,2014-09-08,2017-02-26,902,11,Central,Consumer,Texas,San Antonio
BM-11575,86.3242272801275,6,808.162,134.69366666666667,95.58160000000001,15.930266666666668,81 days,0.35294117647058826,Regular,Standard Class,0.5,Low,100,2,2,1,221,Others,3,Furniture,2015-09-15,2017-09-21,737,7,East,Corporate,Illinois,Chicago
BM-11650,378.41034500275094,11,7294.185,663.1077272727273,2199.2781,199.93437272727272,44 days,0.6470588235294118,VIP,Standard Class,0.27586206896551724,Low,33,3,4,4,344,Potential Loyalists,3,Office Supplies,2014-07-09,2017-11-27,1237,10,Central,Corporate,Indiana,Columbus
BM-11785,156.24109945884885,10,1338.842,133.88420000000002,137.7439,13.77439,83 days,0.5882352941176471,Regular,Second Class,0.7857142857142857,High,218,1,4,2,142,Potential Loyalists,3,Office Supplies,2014-06-06,2017-05-26,1085,9,East,Consumer,Ohio,Columbus
BN-11470,61.932617215809636,4,265.296,66.324,36.6131,9.153275,236 days,0.23529411764705882,Regular,Standard Class,0.8333333333333334,Low,24,4,1,1,411,Loyal Customers,2,Office Supplies,2014-09-12,2017-12-06,1181,6,South,Corporate,North Carolina,Cary
BN-11515,111.52167557672892,5,1459.344,291.8688,340.7054,68.14108,85 days,0.29411764705882354,Regular,Standard Class,0.11764705882352941,Low,9,4,1,2,412,Loyal Customers,2,Office Supplies,2014-03-17,2017-12-21,1375,6,East,Consumer,New York,New York City
BO-11350,446.2100314428648,5,2682.728,536.5456,278.77700000000004,55.75540000000001,53 days,0.29411764705882354,Regular,Standard Class,0.6666666666666666,Low,137,2,1,3,213,Others,3,Office Supplies,2016-01-03,2017-08-15,590,7,East,Corporate,Pennsylvania,Philadelphia
BO-11425,83.91236172340759,2,130.83,65.415,59.4522,29.7261,767 days,0.11764705882352941,New,Standard Class,0.0,Low,75,3,1,1,311,Others,1,Office Supplies,2015-09-10,2017-10-16,767,2,East,Consumer,Kentucky,New York City
BP-11050,217.75557424388865,5,983.42,196.684,209.78300000000002,41.9566,182 days,0.29411764705882354,Regular,Standard Class,0.2857142857142857,Low,83,2,1,1,211,Others,2,Office Supplies,2014-10-12,2017-10-08,1092,6,East,Corporate,California,Chicago
BP-11095,169.9691130032624,12,2442.044,203.50366666666665,433.9751,36.16459166666667,67 days,0.7058823529411765,VIP,Standard Class,0.55,Low,17,4,4,3,443,Loyal Customers,3,Office Supplies,2014-06-07,2017-12-13,1285,9,West,Corporate,California,Los Angeles
BP-11155,288.31448917631593,6,1697.8609999999999,282.97683333333333,647.3847000000001,107.89745,85 days,0.35294117647058826,Regular,Second Class,0.18181818181818182,Low,89,2,2,2,222,Others,3,Office Supplies,2015-06-04,2017-10-02,851,6,East,Consumer,New Jersey,Paterson
BP-11185,351.20429619311324,9,3675.861,408.429,363.5991,40.3999,59 days,0.5294117647058824,Regular,Standard Class,0.7777777777777778,Low,1,4,4,3,443,Loyal Customers,3,Office Supplies,2015-03-24,2017-12-29,1011,12,West,Corporate,Colorado,Arvada
BP-11230,405.646061671995,5,1181.49,236.298,-197.2695,-39.4539,262 days,0.29411764705882354,Regular,Standard Class,0.16666666666666666,Low,39,3,1,2,312,Others,3,Furniture,2014-04-20,2017-11-21,1311,5,West,Consumer,California,Broken Arrow
